Month,senti_score,mean_senti_score,positive,negative,count
2014-5,-30.536394300144366,-0.0765323165417152,57.0,342.0,399
2014-6,45.422014790764806,0.09443246318246322,261.0,220.0,481
2014-7,32.64210642135637,0.11334064729637627,124.0,164.0,288
2014-8,160.38260521885513,0.4662285035431835,222.0,122.0,344
2014-9,26.88843749999997,0.053884644288577095,168.0,331.0,499
2014-10,37.62209145021644,0.0663528949739267,133.0,434.0,567
2014-11,13.666559042809046,0.05815557039493211,71.0,164.0,235
2014-12,26.25886363636364,0.14117668621700882,60.0,126.0,186
2015-1,14.489280002404998,0.04513794393272585,85.0,236.0,321
2015-2,52.69256909756904,0.10475659860351698,181.0,322.0,503
2015-3,45.929953891594494,0.05821286931761026,196.0,593.0,789
2015-4,12.02347703222704,0.027141031675456073,68.0,375.0,443
2015-5,8.591625781625778,0.023346809189200485,79.0,289.0,368
2015-6,14.931058802308801,0.05764887568458996,65.0,194.0,259
2015-7,-5.64746572871573,-0.023728847599645924,60.0,178.0,238
2015-8,24.361737238455998,0.06602096812589701,97.0,272.0,369
2015-9,92.03977116402088,0.07786782670390938,547.0,635.0,1182
2015-10,59.41990868506505,0.0932808613580299,274.0,363.0,637
2015-11,101.8426681998559,0.07900905213332497,469.0,820.0,1289
2015-12,121.10798710201745,0.04649059005835603,933.0,1672.0,2605
2016-1,100.78491664007251,0.038733634373586665,857.0,1745.0,2602
2016-2,210.85144059933026,0.06533977087057027,950.0,2277.0,3227
2016-3,338.60956376147146,0.08342191765495725,1268.0,2791.0,4059
2016-4,110.30893488455986,0.06597424335200949,487.0,1185.0,1672
2016-5,88.84910202066455,0.061317530725096304,378.0,1071.0,1449
2016-6,52.67701490349927,0.05952205073841725,220.0,665.0,885
2016-7,38.53557720057718,0.04859467490615029,212.0,581.0,793
2016-8,84.01040217161301,0.10924629671211054,274.0,495.0,769
2016-9,35.40375360750357,0.03378220764074768,205.0,843.0,1048
2016-10,84.06122895622885,0.0830644554903447,366.0,646.0,1012
2016-11,128.94559132996605,0.07707447180512017,535.0,1138.0,1673
2016-12,14.76019561688342,0.010520453041256893,231.0,1172.0,1403
2017-1,129.55488745051255,0.11120591197468889,384.0,781.0,1165
2017-2,84.50378947441449,0.06648606567617191,369.0,902.0,1271
2017-3,22.61159196127946,0.021596553926723456,249.0,798.0,1047
2017-4,10.669189410849595,0.009142407378620047,220.0,947.0,1167
2017-5,122.18777462121211,0.11324168176201307,402.0,677.0,1079
2017-6,33.33169225739543,0.0477531407699075,193.0,505.0,698
2017-7,190.7164799980107,0.04825821862297842,1239.0,2713.0,3952
2017-8,185.4754257432384,0.07906028377802148,770.0,1576.0,2346
2017-9,271.7741766970367,0.05220402933097132,1654.0,3552.0,5206
2017-10,114.89198989523194,0.06888008986524696,539.0,1129.0,1668
2017-11,217.22648318565035,0.08435979929539819,1019.0,1556.0,2575
2017-12,148.38784387883928,0.10435150765037923,521.0,901.0,1422
2018-1,253.0024502427549,0.0972712227000211,979.0,1622.0,2601
2018-2,188.59322321659764,0.08025243541131814,766.0,1584.0,2350
2018-3,182.53917192760935,0.10563609486551467,648.0,1080.0,1728
2018-4,139.9834923877842,0.10438739178805682,482.0,859.0,1341
2018-5,56.821663123665644,0.015386315495170767,1102.0,2591.0,3693
2018-6,139.44261050932414,0.08013943132719778,763.0,977.0,1740
2018-7,186.3669420346518,0.09976817025409625,780.0,1088.0,1868
2018-8,102.52804504333294,0.06908897913971222,484.0,1000.0,1484
2018-9,98.2336046741533,0.04411028499063911,613.0,1614.0,2227
2018-10,159.1238097758113,0.06731125625034319,908.0,1456.0,2364
2018-11,163.3976157192675,0.07366889797983205,737.0,1481.0,2218
2018-12,91.96682616358488,0.07036482491475507,449.0,858.0,1307
2019-1,256.9798578707163,0.14701364866745784,977.0,771.0,1748
2019-2,209.5606340488192,0.11070292342779672,792.0,1101.0,1893
2019-3,71.6575705839299,0.0939155577771034,273.0,490.0,763
2019-4,63.31179116022865,0.0717007827409158,320.0,563.0,883
2019-5,57.298814649470984,0.06269016920073411,332.0,582.0,914
2019-6,45.07603967502405,0.06058607483202157,270.0,474.0,744
2019-7,87.19999718799738,0.10647130303784784,345.0,474.0,819
2019-8,82.5834554658304,0.07783549054272422,374.0,687.0,1061
2019-9,87.33460084855616,0.07193953941396719,406.0,808.0,1214
2019-10,126.47879302757399,0.08191631672770336,594.0,950.0,1544
2019-11,60.54273355794343,0.062479601194988056,342.0,627.0,969
2019-12,-26.903156411586057,-0.027678144456364257,211.0,761.0,972
